Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,Sirius XM,"Success
",F9 v1.0B0003.1,Success,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,,,F9 v1.0B0003.1,,4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,,,F9 v1.0B0004.1,,8 December 2010,15:43
1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,,,F9 v1.0B0005.1,,22 May 2012,07:44
2,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,,,F9 v1.0B0006.1,,8 October 2012,00:35
3,VAFB,CASSIOPE,500 kg,Polar orbit,,,F9 v1.0B0007.1,,1 March 2013,15:10
4,CCAFS,SES-8,"3,170 kg",GTO,,,F9 v1.1B1003,,29 September 2013,16:00
5,CCAFS,Thaicom 6,"3,325 kg",GTO,,,F9 v1.1,,3 December 2013,22:41
6,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,,F9 v1.1,,6 January 2014,22:06
7,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,,F9 v1.1,,18 April 2014,19:25
8,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,,,F9 v1.1,,14 July 2014,15:15
9,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,,,F9 v1.1,,5 August 2014,08:00
10,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,,,F9 v1.1,,7 September 2014,05:00
11,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,,F9 v1.1,,21 September 2014,05:52
12,Cape Canaveral,DSCOVR,570 kg,HEO,,,F9 v1.1,,10 January 2015,09:47
13,Cape Canaveral,ABS-3A,"4,159 kg",GTO,,,F9 v1.1,,11 February 2015,23:03
14,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,,F9 v1.1,,2 March 2015,03:50
15,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,,F9 v1.1,,14 April 2015,20:10
16,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,,,F9 v1.1,,27 April 2015,23:03
17,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,,,F9 v1.1,,28 June 2015,14:21
18,VAFB,Jason-3,553 kg,LEO,,,F9 FT,,22 December 2015,01:29
19,Cape Canaveral,SES-9,"5,271 kg",GTO,,,F9 v1.1,,17 January 2016,18:42
20,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,,,F9 FT,,4 March 2016,23:35
21,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,,,F9 FT,,8 April 2016,20:43
22,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,,,F9 FT,,6 May 2016,05:21
23,Cape Canaveral,ABS-2A,"3,600 kg",GTO,,,F9 FT,,27 May 2016,21:39
24,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,,,F9 FT,,15 June 2016,14:29
25,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,,,F9 FT,,18 July 2016,04:45
26,VAFB,Iridium NEXT,"9,600 kg",Polar,,,F9 FT,,14 August 2016,05:26
27,KSC,SpaceX CRS-10,"2,490 kg",LEO,,,F9 FT,,14 January 2017,17:54
28,KSC,EchoStar 23,"5,600 kg",GTO,,,F9 FT,,19 February 2017,14:39
29,KSC,SES-10,"5,300 kg",GTO,,,F9 FT,,16 March 2017,06:00
30,KSC,NROL-76,C,LEO,,,F9 FT♺,,30 March 2017,22:27
31,KSC,Inmarsat-5 F4,"6,070 kg",GTO,,,F9 FT,,1 May 2017,11:15
